director,popularity,stars,title,writers,year
Tate Taylor,,"Emma Stone,Viola Davis,Octavia Spencer,See full cast & crew","The Help ,            ","Tate Taylor,Kathryn Stockett",2011
Richard Linklater,,"Ethan Hawke,Julie Delpy,Vernon Dobtcheff,See full cast & crew","Before Sunset ,            ","Richard Linklater,Julie Delpy,5 more credits",2004
Wim Wenders,,"Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,See full cast & crew","Paris, Texas ,            ","L.M. Kit Carson,Sam Shepard,1 more credit",1984
Anurag Kashyap,,"Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,See full cast & crew","Gangs of Wasseypur ,            ","Akhilesh Jaiswal,Anurag Kashyap,2 more credits",2012
Frank Capra,,"Clark Gable,Claudette Colbert,Walter Connolly,See full cast & crew","It Happened One Night ,            ","Robert Riskin,Samuel Hopkins Adams",1934
Céline Sciamma,,"Noémie Merlant,Adèle Haenel,Luàna Bajrami,See full cast & crew","Portrait of a Lady on Fire ,            ",Céline Sciamma,2019
Mathieu Kassovitz,,"Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,See full cast & crew","La Haine ,            ",Mathieu Kassovitz,1995
"Pete Docter,David Silverman,1 more credit",,"Billy Crystal,John Goodman,Mary Gibbs,See full cast & crew","Monsters, Inc. ,            ","Pete Docter,Jill Culton,4 more credits",2001
Alfred Hitchcock,,"Laurence Olivier,Joan Fontaine,George Sanders,See full cast & crew","Rebecca ,            ","Daphne Du Maurier,Robert E. Sherwood,3 more credits",1940
John G. Avildsen,,"Sylvester Stallone,Talia Shire,Burt Young,See full cast & crew","Rocky ,            ",Sylvester Stallone,1976
Hayao Miyazaki,,"Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda,See full cast & crew","Nausicaä of the Valley of the Wind ,            ","Hayao Miyazaki,Hayao Miyazaki,2 more credits",1984
Rakeysh Omprakash Mehra,,"Aamir Khan,Soha Ali Khan,Siddharth,See full cast & crew","Rang De Basanti ,            ","Renzil D'Silva,Prasoon Joshi,2 more credits",2006
Tom McCarthy,,"Mark Ruffalo,Michael Keaton,Rachel McAdams,See full cast & crew","Spotlight ,            ","Josh Singer,Tom McCarthy",2015
Chan-wook Park,,"Min-hee Kim,Jung-woo Ha,Jin-woong Cho,See full cast & crew","The Handmaiden ,            ","Sarah Waters,Seo-kyeong Jeong,1 more credit",2016
François Truffaut,,"Jean-Pierre Léaud,Albert Rémy,Claire Maurier,See full cast & crew","The 400 Blows ,            ","François Truffaut,Marcel Moussy,2 more credits",1959
Terry George,,"Don Cheadle,Sophie Okonedo,Joaquin Phoenix,See full cast & crew","Hotel Rwanda ,            ","Keir Pearson,Terry George",2004
Andrei Tarkovsky,,"Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,See full cast & crew","Andrei Rublev ,            ","Andrey Konchalovskiy,Andrei Tarkovsky",1966
Alejandro G. Iñárritu,,"Emilio Echevarría,Gael García Bernal,Goya Toledo,See full cast & crew","Amores Perros ,            ",Guillermo Arriaga,2000
David Yates,,"Daniel Radcliffe,Emma Watson,Rupert Grint,See full cast & crew","Harry Potter and the Deathly Hallows: Part 2 ,            ","Steve Kloves,J.K. Rowling",2011
James Mangold,,"Hugh Jackman,Patrick Stewart,Dafne Keen,See full cast & crew","Logan ,            ","James Mangold,Scott Frank,2 more credits",2017
Carl Theodor Dreyer,,"Maria Falconetti,Eugene Silvain,André Berley,See full cast & crew","The Passion of Joan of Arc ,            ","Joseph Delteil,Carl Theodor Dreyer",1928
Ron Howard,,"Daniel Brühl,Chris Hemsworth,Olivia Wilde,See full cast & crew","Rush ,            ",Peter Morgan,2013
Peter Weir,,"Robin Williams,Robert Sean Leonard,Ethan Hawke,See full cast & crew","Dead Poets Society ,            ",Tom Schulman,1989
William Wyler,,"Charlton Heston,Jack Hawkins,Stephen Boyd,See full cast & crew","Ben-Hur ,            ","Lew Wallace,Karl Tunberg",1959
Oliver Stone,,"Charlie Sheen,Tom Berenger,Willem Dafoe,See full cast & crew","Platoon ,            ",Oliver Stone,1986
Lasse Hallström,,"Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,See full cast & crew","Hachi: A Dog's Tale ,            ","Stephen P. Lindsey,Kaneto Shindô",2009
Terry Jones,,"Graham Chapman,John Cleese,Michael Palin,See full cast & crew","Monty Python's Life of Brian ,            ","Graham Chapman,John Cleese,4 more credits",1979
Clint Eastwood,,"Hilary Swank,Clint Eastwood,Morgan Freeman,See full cast & crew","Million Dollar Baby ,            ","Paul Haggis,F.X. Toole",2004
Sidney Lumet,,"Faye Dunaway,William Holden,Peter Finch,See full cast & crew","Network ,            ",Paddy Chayefsky,1976
Rob Reiner,,"Wil Wheaton,River Phoenix,Corey Feldman,See full cast & crew","Stand by Me ,            ","Stephen King,Raynold Gideon,1 more credit",1986
Sean Penn,,"Emile Hirsch,Vince Vaughn,Catherine Keener,See full cast & crew","Into the Wild ,            ","Sean Penn,Jon Krakauer",2007
